p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.44303635664738e-233,1.30256208757178,0.678,0.377,3.5787301644855e-231,4,Syndig1
9.03411592043037e-223,1.44435031068412,0.678,0.4,2.24046074826673e-220,4,Sox11
0,2.50399452778882,0.769,0.181,0,5,Hs3st2
0,1.70329962412786,0.953,0.405,0,5,Satb2
0,1.59831011665731,0.823,0.296,0,5,Igfbp6
0,1.52149527458507,0.988,0.461,0,5,Neurod6
0,1.84669916080554,0.966,0.482,0,5,Gfra2
0,1.67719077950543,0.724,0.281,0,5,Plcxd3
0,1.63920779865351,0.735,0.294,0,5,Sorcs3
0,1.45044424422527,0.965,0.536,0,5,Fhod3
0,2.32278453291055,0.581,0.169,0,5,Myl4
0,1.26175378791697,0.815,0.416,0,5,Necab1
0,1.93804975128294,0.544,0.165,0,5,Arhgap25
0,1.75129528336691,0.592,0.213,0,5,Galnt14
0,2.50266184947263,0.411,0.084,0,5,Rspo2
0,1.61034311294898,0.998,0.722,0,5,Dkk3
0,2.53238738344305,0.328,0.07,0,5,Rxfp1
0,1.30101848601658,0.997,0.785,0,5,Dpy19l1
0,1.17325056028578,1,0.875,0,5,Slc17a7
4.68460022908572e-290,1.29134644746992,0.699,0.318,1.16178085681326e-287,5,Grik3
2.19308457386406e-278,1.41347244829807,0.631,0.265,5.43884974318288e-276,5,Sdk2
8.44546578301361e-276,1.53608769441656,0.638,0.283,2.09447551418737e-273,5,Bdnf
5.18702696020912e-252,1.6093483928215,0.369,0.108,1.28638268613186e-249,5,Opn3
1.49210476310006e-245,1.73111721837604,0.475,0.186,3.70041981248815e-243,5,Col6a1
1.1080286099934e-229,1.25642849954163,0.588,0.259,2.74791095278364e-227,5,Fezf2
3.54206209343202e-212,2.03689059662255,0.225,0.052,8.78431399171142e-210,5,Trbc2
5.67048894033558e-184,1.08995083648507,0.468,0.187,1.40628125720322e-181,5,Htr1f
6.93347875926506e-177,1.43643288773685,0.538,0.274,1.71950273229773e-174,5,Rasl10a
1.40856363034888e-169,1.61081759666928,0.338,0.122,3.49323780326522e-167,5,Deptor
2.35070520561135e-151,1.13783526814325,0.585,0.318,5.82974890991615e-149,5,Igsf21
5.12851874842647e-148,1.12237506645954,0.611,0.354,1.27187264960977e-145,5,Ndst3
8.35632359182758e-95,1.29733211975375,0.289,0.127,2.07236825077324e-92,5,Cwh43
1.43781957211222e-85,1.31123033592157,0.226,0.09,3.56579253883831e-83,5,Fos
0,6.01152737472128,0.923,0.065,0,6,Dcn
0,4.20558328955416,0.925,0.099,0,6,Igf2
